Date,Type,Price,Shares,Cost,Capital_Left,TP_Target,SL_Target,Proceeds,Entry_Price,PnL_%,Days_Held,Reason
2025-01-13,LONG_ENTRY,90.84699249267578,104.57143092288833,9500.0,500.0,95.38934211730957,88.1215827178955,,,,,
2025-01-27,LONG_EXIT,96.67318725585938,104.57143092288833,,10609.253523221547,,,10109.253523221547,90.84699249267578,6.413194981279441,14.0,Take Profit Hit
2025-01-31,LONG_ENTRY,97.42752075195312,103.44911549910726,10078.790847060469,530.462676161078,102.29889678955078,94.50469512939453,,,,,
2025-02-12,LONG_EXIT,102.83684539794922,103.44911549910726,,11168.843373297364,,,10638.380697136286,97.42752075195312,5.552152619964573,12.0,Take Profit Hit
2025-02-15,LONG_ENTRY,103.26364135742188,102.7506009390777,10610.401204632495,558.4421686648693,108.42682342529298,100.16573211669922,,,,,
2025-02-20,LONG_EXIT,96.48460388183594,102.7506009390777,,10472.293198892381,,,9913.851030227512,103.26364135742188,-6.564786391874324,5.0,Stop Loss Hit
2025-02-20,LONG_ENTRY,96.48460388183594,103.11156535535807,9948.67853894776,523.6146599446201,101.30883407592773,93.59006576538086,,,,,
2025-02-24,LONG_EXIT,92.97101593017578,103.11156535535807,,10110.001645182976,,,9586.386985238356,96.48460388183594,-3.6416047849076776,4.0,Stop Loss Hit
2025-03-03,LONG_ENTRY,96.86176300048828,99.15679072324349,9604.501562923826,505.5000822591501,101.7048511505127,93.95591011047362,,,,,
2025-03-06,LONG_EXIT,93.93378448486328,99.15679072324349,,9819.672692266995,,,9314.172610007845,96.86176300048828,-3.0228424766646462,3.0,Stop Loss Hit
2025-04-03,LONG_ENTRY,86.84669494628906,107.4155909263218,9328.689057653644,490.98363461335066,91.18902969360352,84.2412940979004,,,,,
2025-04-04,LONG_EXIT,82.79596710205078,107.4155909263218,,9384.561367196435,,,8893.577732583084,86.84669494628906,-4.664227978673779,1.0,Stop Loss Hit
2025-04-04,LONG_ENTRY,82.79596710205078,107.678352109203,8915.333298836613,469.2280683598219,86.93576545715332,80.31208808898926,,,,,
2025-04-09,LONG_EXIT,89.17560577392578,107.678352109203,,10071.510346436078,,,9602.282278076256,82.79596710205078,7.705252918915398,5.0,Take Profit Hit
2025-04-13,LONG_ENTRY,92.3604507446289,103.59341852465661,9567.934829114274,503.575517321804,96.97847328186036,89.58963722229004,,,,,
2025-05-02,LONG_EXIT,98.28226470947266,103.59341852465661,,10684.971298921293,,,10181.395781599489,92.3604507446289,6.411633894270621,19.0,Take Profit Hit
2025-06-05,LONG_ENTRY,97.7317352294922,103.86311785152952,10150.722733975228,534.248564946065,102.61832199096682,94.79978317260743,,,,,
2025-06-12,LONG_EXIT,94.6090316772461,103.86311785152952,,10360.637571858966,,,9826.389006912901,97.7317352294922,-3.1951786642418885,7.0,Stop Loss Hit
2025-06-26,LONG_ENTRY,95.79624938964844,102.74520929552793,9842.605693266018,518.0318785929485,100.58606185913087,92.92236190795899,,,,,
2025-08-06,LONG_EXIT,103.11915588378906,102.74520929552793,,11113.031132251026,,,10594.999253658078,95.79624938964844,7.644251774779738,41.0,Take Profit Hit
2025-08-08,LONG_ENTRY,103.48829650878906,102.01520299198137,10557.379575638473,555.6515566125527,108.66271133422852,100.38364761352538,,,,,
2025-08-15,LONG_EXIT,100.0,102.01520299198137,,10757.17185581069,,,10201.520299198137,103.48829650878906,-3.3707159422542126,7.0,Stop Loss Hit
2025-08-15,LONG_ENTRY,100.0,102.19313263020155,10219.313263020154,537.8585927905351,105.0,97.0,,,,,
2025-08-22,LONG_EXIT,96.83000183105467,102.19313263020155,,10433.219812494164,,,9895.36121970363,100.0,-3.1699981689453267,7.0,Stop Loss Hit
2025-08-22,LONG_ENTRY,96.83000183105467,102.36041138533457,9911.558821869456,521.6609906247086,101.6715019226074,93.92510177612303,,,,,
2025-09-08,LONG_EXIT,102.27999877929688,102.36041138533457,,10991.083742165054,,,10469.422751540345,96.83000183105467,5.628417685823398,17.0,Take Profit Hit
2025-09-10,LONG_ENTRY,100.41000366210938,103.98893710026829,10441.5295550568,549.5541871082532,105.43050384521484,97.39770355224609,,,,,
2025-10-14,LONG_EXIT,107.20999908447266,103.98893710026829,,11698.208038423301,,,11148.653851315048,100.41000366210938,6.772229035312067,34.0,Take Profit Hit
2025-10-16,LONG_ENTRY,106.47000122070312,104.37961406110279,11113.297636502135,584.9104019211663,111.79350128173829,103.27590118408203,,,,,
2025-10-28,LONG_EXIT,103.16999816894531,104.37961406110279,,11353.75499348036,,,10768.844591559193,106.47000122070312,-3.0994674686977706,12.0,Stop Loss Hit
2025-10-28,LONG_ENTRY,103.16999816894531,104.54654875677802,10786.067243806341,567.687749674018,108.32849807739258,100.07489822387696,,,,,
2025-11-18,LONG_EXIT,102.9499969482422,104.54654875677802,,11330.75462513357,,,10763.066875459552,103.16999816894531,-0.21324147000841204,22.0,End of backtest
