,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-04-30,0.0407173937558917,0.0117262575035348,0.3,3.53,,0.9322,11.0492,0.5548313021013982,36297000.0,5.1,,19.287260055541992,32.31014406029417,9.333472252186,0.1259840602353787,-38250000.0,18.753610610961918,2065.300048828125
2016-05-01,0.0407173937558917,0.0117262575035348,0.3,2.66,0.33,0.8409,11.8833,0.5951156151135575,36297000.0,5.1,19.276172892252603,19.213142122541157,32.310144060294164,11.234389042387294,0.1169851987899945,-38250000.0,18.753610610961918,2065.300048828125
2016-05-02,0.0407173937558917,0.0107847646212462,0.3,2.66,0.33,0.8409,11.8833,0.5951156151135575,36297000.0,4.8,19.255700492858885,19.13902418954032,32.310144060294164,12.999526061859925,0.1086291131621378,-38250000.0,18.955522537231445,2081.429931640625
2016-05-03,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,22829100.0,4.8,19.241958491007487,19.063702992030557,40.77769285675607,13.403694872557386,0.1152921712412373,-15420900.0,18.79006004333496,2063.3701171875
2016-05-04,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,17767800.0,4.8,19.22270107269287,18.971554619925364,36.72353314835913,14.3652713972548,0.1188757657166121,-33188700.0,18.843351364135746,2051.1201171875
2016-05-05,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,18088500.0,4.8,19.204846000671388,18.882212230137416,38.83283228954052,14.951732368867669,0.1141911625083385,-15100200.0,18.848957061767575,2050.6298828125
2016-05-06,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,24273000.0,4.8,19.191477966308597,18.814103262765062,39.062942189436725,15.46289216450737,0.1064350578743026,9172800.0,19.14062118530273,2057.139892578125
2016-05-07,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,29476200.0,4.8,19.18409277598063,18.8693904876709,49.67175416187845,14.401108315026384,0.1196657054215064,38649000.0,19.14062118530273,2057.139892578125
2016-05-08,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,29476200.0,4.8,19.18437328338623,18.92467771257673,49.67175416187845,13.415166169079752,0.111118155034256,38649000.0,19.14062118530273,2057.139892578125
2016-05-09,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,29476200.0,4.8,19.186149406433103,18.97996493748256,49.67175416187845,12.49964846212931,0.1031811439603805,38649000.0,19.33693504333496,2058.68994140625
2016-05-10,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,25968600.0,4.8,19.19446932474772,19.03445243835449,56.097151205348496,12.49094904818526,0.1098334806797981,64617600.0,19.29206657409668,2084.389892578125
2016-05-11,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,19208700.0,4.8,19.201293627421062,19.10616765703474,54.38805434335288,12.235870270634928,0.1051931227196898,45408900.0,18.760961532592773,2064.4599609375
2016-05-12,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,43792500.0,4.8,19.196584256490077,19.094397681100027,39.17393238072256,12.916691156510412,0.1356154026328481,1616400.0,18.88526153564453,2064.110107421875
2016-05-13,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,28600500.0,4.8,19.182930692036948,19.09958403451102,43.18001484781536,12.972202241938929,0.1348071598056273,30216900.0,18.345684051513672,2046.6099853515625
2016-05-14,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,41234100.0,4.8,19.14801928202311,18.98602158682687,33.01498582706283,14.482416101341,0.1637193258288582,-11017200.0,18.345684051513672,2046.6099853515625
2016-05-15,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,41234100.0,4.8,19.11637980143229,18.87245913914272,33.01498582706283,15.884757542214354,0.1520250882696541,-11017200.0,18.345684051513672,2046.6099853515625
2016-05-16,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,41234100.0,4.8,19.08230985005697,18.758896691458567,33.01498582706283,17.18693173731104,0.1411661533932502,-11017200.0,18.650781631469727,2066.659912109375
2016-05-17,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,30545400.0,4.8,19.05840981801351,18.66087477547782,42.56382049308743,17.02450821131006,0.1528755410048791,19528200.0,18.390884399414062,2047.2099609375
2016-05-18,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,27758100.0,4.8,19.02584654490153,18.532134464808877,37.64132630041247,17.57928825988734,0.1605199475085066,-8229900.0,17.840002059936523,2047.6300048828125
2016-05-19,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,66767700.0,4.8,18.967441749572757,18.40056882585798,29.779780044618008,19.2198515469538,0.1884029755062946,-74997600.0,19.54913902282715,2040.0400390625
2016-05-20,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,105230100.0,4.8,18.96684977213541,18.49540846688407,58.64104312641418,19.08438586754919,0.2970268317480325,30232500.0,19.735593795776367,2052.320068359375
